provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region
P00001,Provider_1,City_1,WA,47.7511,-120.7401,Endocrinology,Ophthalmology,Specialty Care,1,400,5,2.87,0.96,FALSE,TRUE,Out-of-network,69,TRUE,Hospital_1,3.11,West
P00002,Provider_2,City_2,NY,43.3494,-74.1679,Orthopedics,Ophthalmology,Surgical,23,400,56,1.51,0.89,TRUE,TRUE,Out-of-network,137,TRUE,Hospital_2,4.82,East
P00003,Provider_3,City_3,AZ,34.1489,-110.9937,Psychiatry,Pediatrics,Specialty Care,9,250,40,4.37,0.09,FALSE,TRUE,Out-of-network,117,FALSE,Hospital_3,4.64,West
P00004,Provider_4,City_4,CO,39.7001,-105.6321,Orthopedics,Neurology,Surgical,24,400,11,1.71,0.22,FALSE,FALSE,In-network,221,FALSE,Hospital_4,4.25,West
P00005,Provider_5,City_5,PA,41.4033,-76.9945,Ophthalmology,Ophthalmology,Specialty Care,11,180,60,3.86,0,TRUE,TRUE,In-network,398,TRUE,Hospital_5,2.67,West
P00006,Provider_6,City_6,FL,28.2444,-81.5103,General Practice,ENT,Primary Care,2,100,55,4.06,0.63,TRUE,FALSE,Out-of-network,232,TRUE,Hospital_6,2.98,North
P00007,Provider_7,City_7,AZ,34.3489,-110.7937,Gastroenterology,ENT,Specialty Care,5,420,26,4.67,0.74,FALSE,FALSE,Out-of-network,284,TRUE,Hospital_7,2.53,East
P00008,Provider_8,City_8,CA,37.1283,-119.0679,Endocrinology,Cardiology,Specialty Care,15,400,49,1.95,0.33,FALSE,TRUE,In-network,130,FALSE,Hospital_8,4.65,South
P00009,Provider_9,City_9,MA,42.8072,-70.9824,General Practice,Gastroenterology,Primary Care,31,100,59,1.27,0.09,TRUE,FALSE,Out-of-network,232,TRUE,Hospital_9,2.63,South
P00010,Provider_10,City_10,NV,39.2526,-115.9694,Endocrinology,Psychiatry,Specialty Care,35,400,40,4,0.58,TRUE,FALSE,In-network,295,FALSE,Hospital_10,3.27,West
P00011,Provider_11,City_11,MI,44.3148,-85.6024,ENT,Orthopedics,Specialty Care,36,220,11,1.77,0.78,TRUE,FALSE,In-network,385,TRUE,Hospital_11,3.59,South
P00012,Provider_12,City_12,PA,41.2533,-77.1445,Dermatology,Ophthalmology,Specialty Care,39,200,15,1.05,0.28,FALSE,FALSE,In-network,117,FALSE,Hospital_12,2.25,East
P00013,Provider_13,City_13,TX,32.0686,-99.8018,Orthopedics,Neurology,Surgical,28,400,22,4.04,0.37,TRUE,TRUE,In-network,500,FALSE,Hospital_13,3.26,South
P00014,Provider_14,City_14,NC,35.9096,-78.8693,General Practice,Endocrinology,Primary Care,19,100,54,2.21,0.61,TRUE,TRUE,In-network,67,TRUE,Hospital_14,2.96,East
P00015,Provider_15,City_15,NC,35.9596,-78.8193,Orthopedics,Psychiatry,Surgical,3,400,31,3.32,0.87,FALSE,TRUE,Out-of-network,394,TRUE,Hospital_15,3.3,West
